Date,Open,Close
2010-06-29,1.2666670083999634,1.5926669836044312
2010-06-30,1.7193330526351929,1.5886670351028442
2010-07-01,1.6666669845581055,1.4639999866485596
2010-07-02,1.5333329439163208,1.2799999713897705
2010-07-06,1.3333330154418945,1.0740000009536743
2010-07-07,1.0933330059051514,1.053333044052124
2010-07-08,1.0759999752044678,1.1640000343322754
2010-07-09,1.1720000505447388,1.159999966621399
2010-07-12,1.196666955947876,1.136667013168335
2010-07-13,1.1593329906463623,1.2093329429626465
2010-07-14,1.1959999799728394,1.3226670026779175
2010-07-15,1.329332947731018,1.3259999752044678
2010-07-16,1.3799999952316284,1.3760000467300415
2010-07-19,1.4246670007705688,1.4606670141220093
2010-07-20,1.4566669464111328,1.3533329963684082
2010-07-21,1.3773330450057983,1.3480000495910645
2010-07-22,1.3666670322418213,1.399999976158142
2010-07-23,1.4126670360565186,1.4193329811096191
2010-07-26,1.4333330392837524,1.3966670036315918
2010-07-27,1.3940000534057617,1.3700000047683716
2010-07-28,1.3700000047683716,1.3813329935073853
2010-07-29,1.3846670389175415,1.3566670417785645
2010-07-30,1.3466670513153076,1.329332947731018
2010-08-02,1.3666670322418213,1.3946670293807983
2010-08-03,1.399999976158142,1.463333010673523
2010-08-04,1.463333010673523,1.4173330068588257
2010-08-05,1.4359999895095825,1.363332986831665
2010-08-06,1.340000033378601,1.305999994277954
2010-08-09,1.3266669511795044,1.3066669702529907
2010-08-10,1.309999942779541,1.2686669826507568
2010-08-11,1.246000051498413,1.1933330297470093
2010-08-12,1.1866669654846191,1.1733330488204956
2010-08-13,1.2120000123977661,1.2213330268859863
2010-08-16,1.2300000190734863,1.2519999742507935
2010-08-17,1.2640000581741333,1.2766669988632202
2010-08-18,1.305999994277954,1.2513329982757568
2010-08-19,1.2359999418258667,1.25266695022583
2010-08-20,1.2433329820632935,1.273332953453064
2010-08-23,1.2726670503616333,1.3420000076293945
2010-08-24,1.2833329439163208,1.2799999713897705
2010-08-25,1.2773330211639404,1.3266669511795044
2010-08-26,1.3259999752044678,1.3166669607162476
2010-08-27,1.3166669607162476,1.3133330345153809
2010-08-30,1.3133330345153809,1.324666976928711
2010-08-31,1.3106670379638672,1.2986669540405273
2010-09-01,1.3079999685287476,1.363332986831665
2010-09-02,1.3580000400543213,1.4040000438690186
2010-09-03,1.391332983970642,1.4033329486846924
2010-09-07,1.3739999532699585,1.369333028793335
2010-09-08,1.3773330450057983,1.3933329582214355
2010-09-09,1.399999976158142,1.380666971206665
2010-09-10,1.3833329677581787,1.3446669578552246
2010-09-13,1.3926670551300049,1.3813329935073853
2010-09-14,1.369333028793335,1.4079999923706055
2010-09-15,1.3986669778823853,1.4653329849243164
2010-09-16,1.476667046546936,1.3960000276565552
2010-09-17,1.401332974433899,1.348667025566101
2010-09-20,1.378000020980835,1.4040000438690186
2010-09-21,1.3926670551300049,1.3846670389175415
2010-09-22,1.391332983970642,1.324666976928711
2010-09-23,1.3259999752044678,1.3040000200271606
2010-09-24,1.3300000429153442,1.340000033378601
2010-09-27,1.3600000143051147,1.3686670064926147
2010-09-28,1.4026670455932617,1.4266669750213623
2010-09-29,1.4126670360565186,1.4653329849243164
2010-09-30,1.4666670560836792,1.3606669902801514
2010-10-01,1.3793330192565918,1.3733329772949219
2010-10-04,1.3619999885559082,1.3993330001831055
2010-10-05,1.409999966621399,1.4079999923706055
2010-10-06,1.4040000438690186,1.3639999628067017
2010-10-07,1.3713330030441284,1.3619999885559082
2010-10-08,1.3619999885559082,1.3619999885559082
2010-10-11,1.3626669645309448,1.3493330478668213
2010-10-12,1.3466670513153076,1.3493330478668213
2010-10-13,1.3760000467300415,1.369333028793335
2010-10-14,1.399999976158142,1.3833329677581787
2010-10-15,1.3926670551300049,1.369333028793335
2010-10-18,1.3680000305175781,1.348667025566101
